Medal,Number_of_Medals,region,Year,Sport
Silver,2,South Korea,1984,Judo
Gold,1,Japan,1952,Wrestling
Gold,1,Australia,1932,Cycling
Gold,1,Russia,1988,Speed Skating
Silver,2,Hungary,1924,Art Competitions
Silver,2,Germany,2002,Bobsleigh
Silver,1,Serbia,1968,Wrestling
Bronze,11,North Korea,1972,Volleyball
Bronze,2,Norway,2014,Alpine Skiing
Gold,3,Sweden,1920,Wrestling
Bronze,1,Kazakhstan,2016,Judo
Gold,2,Russia,1960,Shooting
Gold,1,Germany,1994,Luge
Bronze,1,North Korea,1980,Weightlifting
Silver,4,China,2016,Fencing
Bronze,1,Norway,1992,Freestyle Skiing
Bronze,1,Japan,1964,Wrestling
Bronze,2,Canada,2002,Speed Skating
Silver,2,UK,1932,Sailing
Silver,3,South Korea,1996,Wrestling
Silver,2,Netherlands,1968,Cycling
Silver,2,Sweden,1960,Cross Country Skiing
Silver,1,Norway,1988,Ski Jumping
Gold,1,UK,2012,Taekwondo
Gold,6,South Korea,2014,Short Track Speed Skating
Gold,2,Brazil,2016,Sailing
Silver,2,Lithuania,2016,Rowing
Silver,2,Sweden,1984,Athletics
Gold,2,South Korea,2004,Badminton
Bronze,2,Canada,1912,Athletics
Gold,1,Norway,1928,Figure Skating
Silver,2,Canada,2000,Diving
Bronze,2,Germany,1988,Bobsleigh
Silver,1,Czech Republic,1900,Athletics
Bronze,3,Netherlands,1996,Judo
Bronze,1,UK,2012,Athletics
Gold,3,Belgium,1900,Equestrianism
Gold,1,USA,2016,Judo
Silver,3,UK,1960,Athletics
Gold,1,Hungary,2004,Shooting
Silver,4,Norway,1968,Biathlon
Silver,2,Hungary,1980,Canoeing
Silver,1,Switzerland,2014,Snowboarding
Gold,2,China,1988,Diving
Silver,1,Mexico,1984,Athletics
Bronze,1,Austria,1972,Athletics
Gold,1,Norway,1994,Freestyle Skiing
Silver,1,Mexico,2000,Athletics
Silver,4,Switzerland,1988,Equestrianism
Gold,1,Norway,1964,Speed Skating
Gold,1,Russia,2000,Tennis
Bronze,5,Russia,1968,Canoeing
Bronze,8,South Korea,1992,Table Tennis
Silver,3,Germany,2002,Speed Skating
Bronze,6,Germany,2000,Rowing
Bronze,1,Bulgaria,1992,Shooting
Bronze,1,Ireland,1948,Art Competitions
Bronze,1,Czech Republic,2012,Athletics
Silver,1,USA,1956,Wrestling
Gold,4,France,1932,Equestrianism
Silver,16,South Korea,2000,Hockey
Bronze,11,USA,1936,Ice Hockey
Silver,1,Germany,1972,Judo
Silver,1,Argentina,1952,Athletics
Bronze,1,Cuba,1992,Fencing
Silver,2,USA,1956,Figure Skating
Gold,2,UK,2004,Cycling
Silver,2,Germany,1964,Boxing
Bronze,6,Sweden,2014,Cross Country Skiing
Bronze,3,Iran,1952,Wrestling
Gold,1,Sweden,1920,Shooting
Silver,3,France,1964,Alpine Skiing
Silver,2,Poland,1976,Canoeing
Silver,5,Austria,2006,Alpine Skiing
Silver,1,Mongolia,1968,Wrestling
Silver,2,USA,1968,Shooting
Gold,5,Belgium,1952,Cycling
Gold,1,Bulgaria,2004,Shooting
Silver,3,Austria,1988,Alpine Skiing
Bronze,1,Germany,1980,Diving
Bronze,1,USA,1952,Wrestling
Silver,1,Japan,1956,Alpine Skiing
Silver,2,Poland,2004,Swimming
Bronze,1,Germany,1928,Modern Pentathlon
Silver,2,Greece,1906,Athletics
Bronze,2,Germany,1998,Alpine Skiing
Bronze,3,Romania,1988,Gymnastics
Bronze,1,UK,1992,Swimming
Silver,1,Sweden,1984,Speed Skating
Silver,1,Taiwan,2012,Weightlifting
Gold,4,Czech Republic,1952,Athletics
Bronze,1,Bulgaria,1968,Wrestling
Bronze,4,USA,1948,Rowing
Silver,3,Netherlands,1968,Speed Skating
Bronze,3,France,1968,Modern Pentathlon
Silver,4,Russia,1996,Cycling
Gold,1,Sweden,1984,Speed Skating
Gold,6,Finland,1952,Cross Country Skiing
Bronze,1,Finland,1956,Boxing
Silver,2,Germany,1936,Shooting
Gold,1,Canada,2008,Wrestling
Gold,2,USA,2002,Skeleton
Gold,7,Hungary,1956,Fencing
Bronze,2,USA,1960,Sailing
Bronze,1,Netherlands,1996,Cycling
Gold,1,UK,1968,Athletics
Bronze,1,South Africa,2000,Swimming
Gold,1,Austria,1960,Alpine Skiing
Silver,1,UK,1964,Fencing
Bronze,1,Macedonia,2000,Wrestling
Bronze,1,France,2010,Freestyle Skiing
Bronze,1,Bulgaria,2004,Boxing
Bronze,1,Russia,1980,Shooting
Silver,4,USA,1960,Diving
Bronze,2,Japan,2008,Synchronized Swimming
Silver,1,Australia,2004,Triathlon
Bronze,2,UK,2004,Cycling
Silver,3,China,2004,Archery
Silver,6,Netherlands,1952,Swimming
Bronze,4,Switzerland,1972,Cross Country Skiing
Gold,1,Belarus,2010,Freestyle Skiing
Bronze,1,Poland,2004,Fencing
Bronze,2,South Korea,2000,Badminton
Bronze,1,Algeria,2008,Judo
Bronze,4,Sweden,1972,Equestrianism
Silver,1,Finland,1960,Cross Country Skiing
Bronze,2,Finland,1952,Wrestling
Gold,1,Belgium,1924,Sailing
Bronze,4,Nigeria,1992,Athletics
Silver,1,Finland,1948,Shooting
Gold,1,Bahrain,2016,Athletics
Gold,2,USA,1988,Sailing
Bronze,1,Canada,1992,Judo
Silver,2,UK,2008,Sailing
Bronze,1,Norway,1924,Nordic Combined
Bronze,2,Austria,1960,Alpine Skiing
Gold,1,Jamaica,1996,Athletics
Gold,1,Vietnam,2016,Shooting
Silver,2,China,2000,Badminton
Bronze,6,Bulgaria,2004,Rhythmic Gymnastics
Gold,4,Poland,2008,Rowing
Bronze,1,Canada,2014,Alpine Skiing
Bronze,3,Uzbekistan,2016,Wrestling
Silver,1,Canada,1976,Athletics
Bronze,1,Denmark,1924,Art Competitions
Bronze,1,UK,1994,Short Track Speed Skating
Gold,4,Russia,1976,Figure Skating
Bronze,1,South Korea,1948,Boxing
Silver,2,Norway,1972,Rowing
Silver,1,Denmark,1984,Equestrianism
Silver,1,Norway,1960,Speed Skating
Bronze,1,Italy,1960,Cycling
Bronze,9,China,2008,Synchronized Swimming
Gold,4,Switzerland,2016,Rowing
Bronze,2,Germany,1964,Swimming
Bronze,2,Switzerland,2004,Beach Volleyball
Bronze,1,Canada,2006,Skeleton
Bronze,1,USA,2004,Fencing
Silver,3,USA,1984,Modern Pentathlon
Bronze,1,Norway,1924,Cross Country Skiing
Silver,1,Vietnam,2016,Shooting
Bronze,2,Switzerland,1972,Bobsleigh
Silver,1,Turkey,2016,Weightlifting
Bronze,1,South Korea,2016,Judo
Silver,5,Germany,1980,Shooting
Silver,4,USA,2002,Bobsleigh
Bronze,2,Finland,1936,Athletics
Silver,5,Russia,2008,Swimming
Bronze,5,USA,2006,Short Track Speed Skating
Gold,2,Germany,1992,Shooting
Gold,3,Germany,1972,Gymnastics
Gold,1,Denmark,1896,Weightlifting
Bronze,1,Sweden,1964,Cross Country Skiing
Bronze,2,Sweden,1936,Athletics
Silver,1,Poland,1988,Wrestling
Silver,1,Iran,2012,Athletics
Silver,1,Japan,2016,Judo
Silver,5,Russia,1992,Gymnastics
Bronze,1,Morocco,2012,Athletics
Bronze,3,Finland,1920,Athletics
Silver,6,France,1920,Shooting
Gold,2,USA,2000,Wrestling
Bronze,1,Norway,2010,Freestyle Skiing
Silver,5,UK,1906,Athletics
Bronze,3,Austria,1956,Alpine Skiing
Bronze,1,Denmark,1984,Canoeing
Bronze,2,South Korea,1976,Judo
Gold,3,South Korea,2000,Taekwondo
Silver,1,Greece,1972,Wrestling
Gold,3,Bulgaria,1964,Wrestling
Bronze,1,Switzerland,1924,Figure Skating
Gold,4,Germany,1980,Bobsleigh
Silver,1,Spain,2012,Triathlon
Bronze,2,Italy,1984,Sailing
Gold,1,USA,1908,Jeu De Paume
Bronze,1,Switzerland,1968,Cross Country Skiing
Gold,1,Denmark,2012,Cycling
Gold,2,Denmark,1952,Canoeing
Gold,7,South Korea,2000,Archery
Silver,5,Bulgaria,1976,Rowing
Bronze,4,USA,1904,Fencing
Silver,1,Russia,2014,Short Track Speed Skating
Gold,2,Indonesia,2000,Badminton
Bronze,1,Hungary,1952,Wrestling
Bronze,3,Japan,2012,Archery
Silver,2,Netherlands,1984,Rowing
Bronze,1,UK,2016,Triathlon
Silver,2,USA,1956,Weightlifting
Bronze,4,Australia,2000,Diving
Gold,4,Hungary,1906,Swimming
Silver,5,France,1900,Archery
Gold,1,Denmark,1996,Badminton
Gold,5,Russia,1992,Fencing
Gold,4,Japan,2008,Judo
Silver,5,Finland,1920,Wrestling
Gold,4,Finland,1956,Cross Country Skiing
Silver,2,Czech Republic,1936,Wrestling
Bronze,1,Canada,2012,Wrestling
Silver,2,Nigeria,1992,Boxing
Silver,1,Tunisia,2012,Athletics
Bronze,10,Switzerland,1924,Gymnastics
Bronze,3,UK,1908,Athletics
Silver,1,Japan,1928,Athletics
Silver,1,Vietnam,2008,Weightlifting
Bronze,3,Cuba,1992,Judo
Gold,1,UK,1956,Swimming
Silver,3,Germany,2016,Table Tennis
Silver,2,USA,1968,Rowing
Bronze,2,Poland,1976,Shooting
Silver,2,Germany,1936,Alpine Skiing
Gold,4,Bulgaria,1976,Rowing
Silver,16,South Korea,1996,Handball
Gold,1,Germany,1992,Swimming
Gold,1,France,1984,Shooting
Gold,2,Slovakia,2000,Canoeing
Bronze,1,Poland,2012,Wrestling
Silver,1,France,1960,Athletics
Bronze,1,Germany,1928,Wrestling
Gold,1,Canada,2006,Skeleton
Gold,3,Switzerland,1996,Rowing
Gold,2,USA,1968,Diving
Bronze,4,USA,1912,Equestrianism
Silver,1,Germany,1896,Athletics
Bronze,2,Indonesia,2000,Weightlifting
Silver,2,South Korea,2004,Weightlifting
Silver,1,France,2000,Canoeing
Bronze,1,Norway,1924,Athletics
Bronze,1,Denmark,1996,Rowing
Silver,6,Germany,1988,Bobsleigh
Silver,1,Russia,2000,Taekwondo
Silver,5,Finland,1928,Athletics
Bronze,1,Poland,1972,Weightlifting
Gold,1,Sweden,1976,Athletics
Silver,4,South Korea,1996,Badminton
Bronze,2,Russia,1956,Speed Skating
Silver,11,Japan,1932,Hockey
Silver,2,Switzerland,1928,Gymnastics
Gold,3,Spain,1992,Archery
Bronze,1,Australia,1996,Shooting
Gold,1,Luxembourg,1928,Art Competitions
Silver,4,UK,1920,Swimming
Bronze,1,Russia,2000,Rhythmic Gymnastics
Gold,1,Italy,2004,Archery
Bronze,1,Russia,2014,Biathlon
Gold,1,France,1992,Nordic Combined
Silver,1,Germany,2002,Ski Jumping
Bronze,2,China,2012,Trampolining
Bronze,2,USA,1964,Alpine Skiing
Bronze,1,Ukraine,2008,Boxing
Bronze,1,Austria,1998,Cross Country Skiing
Bronze,4,USA,2012,Fencing
Gold,3,South Korea,1988,Table Tennis
Gold,7,South Korea,2004,Archery
Bronze,2,Denmark,1896,Shooting
Silver,2,Kenya,1972,Athletics
Silver,2,Sweden,1912,Diving
Silver,5,Finland,1976,Cross Country Skiing
Bronze,5,Germany,2010,Biathlon
Silver,5,Russia,1964,Speed Skating
Silver,1,Austria,1896,Swimming
Silver,1,Denmark,2012,Sailing
Bronze,5,UK,1908,Sailing
Gold,4,Canada,2010,Speed Skating
Bronze,3,Netherlands,2004,Judo
Bronze,5,Sweden,1920,Equestrianism
Gold,1,Canada,1968,Alpine Skiing
Silver,2,Canada,1928,Rowing
Gold,2,New Zealand,1960,Athletics
Bronze,6,Sweden,1928,Sailing
Silver,1,Germany,2012,Fencing
Bronze,1,Greece,1968,Wrestling
Bronze,3,Cuba,1996,Fencing
Bronze,2,France,2004,Wrestling
Silver,2,Spain,1976,Sailing
Silver,1,Finland,1948,Wrestling
Silver,2,Switzerland,1924,Gymnastics
Bronze,2,Japan,2008,Wrestling
Bronze,1,USA,1924,Ski Jumping
Silver,3,China,2012,Diving
Silver,1,North Korea,1980,Weightlifting
Bronze,2,South Korea,2016,Badminton
Silver,1,Norway,1956,Speed Skating
Gold,1,Tunisia,1968,Athletics
Bronze,1,Spain,1992,Athletics
Bronze,2,China,1992,Rowing
Gold,8,China,2008,Table Tennis
Bronze,5,Finland,1924,Wrestling
Gold,1,Hungary,1936,Boxing
Silver,1,Denmark,1952,Equestrianism
Silver,1,Australia,2004,Diving
Silver,1,Colombia,1900,Tug-Of-War
Gold,4,Slovakia,2008,Canoeing
Bronze,6,USA,1932,Athletics
Gold,1,Sweden,1908,Diving
Silver,2,France,1900,Croquet
Gold,7,Hungary,1928,Fencing
Bronze,3,Germany,2010,Luge
Bronze,3,Italy,2000,Judo
Bronze,12,Czech Republic,1968,Volleyball
Gold,5,Germany,1900,Rowing
Gold,1,Finland,1952,Wrestling
Silver,1,Canada,2010,Freestyle Skiing
Gold,1,Italy,1984,Luge
Bronze,1,Netherlands,1968,Athletics
Gold,2,China,2012,Shooting
Gold,1,Sweden,1952,Modern Pentathlon
Bronze,8,USA,1972,Athletics
Silver,2,Czech Republic,1948,Canoeing
Silver,1,Czech Republic,1956,Shooting
Gold,1,Czech Republic,1992,Shooting
Gold,8,USA,1924,Tennis
Silver,1,UK,1896,Athletics
Gold,2,South Korea,1988,Wrestling
Silver,4,Germany,1998,Ski Jumping
Bronze,1,Denmark,1928,Cycling
Silver,5,Canada,1998,Curling
Silver,1,"Virgin Islands, US",1988,Sailing
Bronze,1,Germany,2010,Skeleton
Bronze,5,Czech Republic,1972,Rowing
Silver,2,Poland,1960,Athletics
Gold,2,Turkey,1952,Wrestling
Bronze,1,Germany,1976,Ski Jumping
Silver,2,Norway,1972,Speed Skating
Bronze,2,Norway,1908,Athletics
Bronze,2,UK,2012,Canoeing
Silver,1,Luxembourg,1924,Art Competitions
Silver,1,USA,1972,Speed Skating
Gold,2,Japan,2004,Wrestling
Silver,2,Japan,2004,Judo
Silver,1,South Korea,1976,Judo
Silver,5,Poland,1976,Athletics
Silver,3,Norway,1928,Equestrianism
Bronze,2,Italy,1968,Athletics
Gold,1,Croatia,2016,Shooting
Gold,1,Italy,1976,Alpine Skiing
Gold,1,Germany,1964,Diving
Bronze,3,Denmark,2016,Sailing
Bronze,4,China,1988,Weightlifting
Bronze,5,Netherlands,1948,Swimming
Gold,1,Norway,1932,Figure Skating
Silver,5,Belgium,1924,Cycling
Bronze,4,Canada,1932,Speed Skating
Bronze,1,Finland,1960,Speed Skating
Silver,3,South Korea,2012,Table Tennis
Bronze,4,Russia,1996,Canoeing
Silver,1,China,1988,Weightlifting
Bronze,1,Germany,2006,Luge
Silver,1,Colombia,2012,Athletics
Gold,1,South Korea,2008,Shooting
Bronze,4,China,2000,Badminton
Silver,2,Cuba,2000,Athletics
Gold,1,Switzerland,1924,Equestrianism
Gold,4,Austria,2010,Nordic Combined
Silver,3,Denmark,1932,Cycling
Bronze,1,Australia,1906,Swimming
Bronze,4,Cuba,1996,Judo
Bronze,1,USA,2016,Taekwondo
Gold,3,Russia,2012,Judo
Silver,1,Tunisia,1964,Athletics
Silver,3,Switzerland,1988,Nordic Combined
Bronze,5,China,2012,Athletics
Bronze,2,Australia,1972,Swimming
Silver,1,USA,1948,Boxing
Bronze,7,Japan,1960,Swimming
Bronze,1,Italy,2014,Alpine Skiing
Silver,4,Germany,2008,Canoeing
Gold,4,Cuba,2000,Boxing
Gold,1,Czech Republic,1952,Canoeing
Gold,1,Norway,1996,Canoeing
Silver,4,Japan,2010,Speed Skating
Bronze,7,Japan,1988,Gymnastics
Silver,1,Italy,2014,Alpine Skiing
Bronze,1,Denmark,1964,Cycling
Bronze,2,Germany,1936,Art Competitions
Silver,7,France,2016,Swimming
Bronze,1,Germany,2008,Gymnastics
Gold,1,Sweden,1968,Speed Skating
Bronze,1,Sweden,2014,Freestyle Skiing
Bronze,2,Egypt,1936,Weightlifting
Bronze,2,Egypt,2016,Weightlifting
Gold,1,Greece,2004,Judo
Bronze,1,USA,1952,Shooting
Silver,1,Italy,1968,Shooting
Silver,2,Poland,1968,Boxing
Silver,1,Norway,2000,Taekwondo
Gold,2,Hungary,2012,Swimming
Bronze,4,Denmark,1960,Canoeing
Gold,2,USA,1960,Figure Skating
Bronze,4,Germany,1980,Canoeing
Gold,1,USA,1952,Speed Skating
Silver,2,Cuba,1980,Boxing
Gold,2,Canada,2014,Bobsleigh
Silver,2,UK,2008,Athletics
Gold,2,Ethiopia,1996,Athletics
Gold,8,Switzerland,1906,Shooting
Silver,3,Sweden,2010,Cross Country Skiing
Silver,1,Norway,1996,Canoeing
Silver,1,Finland,1924,Shooting
Gold,2,Germany,2010,Luge
Bronze,2,Japan,1964,Weightlifting
Bronze,3,Croatia,1992,Tennis
Bronze,1,China,1988,Table Tennis
Silver,1,Sweden,2016,Cycling
Gold,1,Belgium,1920,Cycling
Gold,4,France,1968,Alpine Skiing
Silver,9,Canada,1956,Rowing
Bronze,1,Greece,2012,Judo
Gold,1,Romania,1980,Shooting
Bronze,1,South Africa,1928,Boxing
Bronze,1,Hungary,1988,Boxing
Bronze,2,UK,1956,Boxing
Silver,2,France,1936,Cycling
Bronze,3,Bulgaria,1988,Rowing
Bronze,10,UK,1980,Athletics
Bronze,1,Kazakhstan,2008,Weightlifting
Silver,1,France,1992,Nordic Combined
Gold,1,Germany,2012,Athletics
Silver,2,Canada,1952,Canoeing
Bronze,1,Sweden,1936,Figure Skating
Gold,3,Russia,2004,Cycling
Silver,1,Austria,1932,Weightlifting
Bronze,2,Italy,1992,Luge
Gold,4,South Korea,1992,Badminton
Gold,1,Australia,2010,Freestyle Skiing
Bronze,2,USA,1900,Tennis
Silver,1,Italy,1906,Fencing
Bronze,3,Hungary,1948,Swimming
Bronze,2,Iran,2012,Wrestling
Silver,2,Germany,1984,Sailing
Bronze,1,Germany,1952,Boxing
Bronze,4,UK,1936,Cycling
Gold,1,Czech Republic,1936,Gymnastics
Gold,4,USA,1996,Archery
Silver,2,Hungary,1988,Weightlifting
Silver,2,Hungary,1952,Swimming
Bronze,2,South Korea,1992,Badminton
Silver,5,USA,1976,Sailing
Bronze,2,Hungary,1996,Fencing
Bronze,1,UK,1988,Swimming
Silver,3,USA,1948,Weightlifting
Gold,3,Chile,2004,Tennis
Silver,5,Sweden,1924,Equestrianism
Silver,2,Japan,2014,Snowboarding
Gold,1,Denmark,1948,Canoeing
Silver,1,Russia,2010,Snowboarding
Bronze,1,Indonesia,2012,Weightlifting
Bronze,1,South Korea,2000,Wrestling
Bronze,5,Finland,1952,Sailing
Gold,2,Finland,2014,Cross Country Skiing
Silver,1,Sri Lanka,2000,Athletics
Gold,2,Hungary,1896,Swimming
Bronze,1,France,2012,Taekwondo
Silver,4,Cuba,1992,Athletics
Bronze,2,UK,2008,Swimming
Gold,4,Finland,1936,Cross Country Skiing
Silver,5,Norway,1998,Cross Country Skiing
Silver,1,Australia,1948,Wrestling
Bronze,17,Germany,1992,Swimming
Gold,4,Germany,1998,Bobsleigh
Silver,4,Finland,1932,Athletics
Bronze,1,South Korea,1968,Boxing
Silver,2,Cuba,1968,Boxing
Silver,7,Germany,1936,Swimming
Bronze,1,Puerto Rico,1984,Boxing
Gold,1,France,2008,Wrestling
Bronze,1,Finland,2008,Shooting
Silver,1,Armenia,2012,Wrestling
Bronze,2,Cuba,1976,Boxing
Silver,1,Germany,1912,Shooting
Gold,1,Norway,1928,Nordic Combined
Bronze,4,UK,1992,Archery
Bronze,1,Ukraine,2008,Judo
Gold,3,Netherlands,1968,Speed Skating
Bronze,1,Hungary,1936,Fencing
Bronze,1,Hungary,1900,Athletics
Bronze,4,Switzerland,2008,Equestrianism
Gold,5,Germany,1900,Swimming
Gold,1,USA,1952,Canoeing
Gold,5,UK,1992,Rowing
Gold,2,Hungary,1968,Canoeing
Bronze,1,USA,1968,Speed Skating
Silver,3,Australia,1992,Swimming
Silver,1,Mexico,1932,Shooting
Bronze,4,Finland,1992,Cross Country Skiing
Silver,1,Russia,1994,Alpine Skiing
Bronze,6,Germany,1912,Shooting
Bronze,2,Italy,1980,Sailing
Gold,1,France,1896,Fencing
Silver,1,Canada,2010,Speed Skating
Silver,1,Germany,1964,Diving
Gold,5,Japan,1964,Wrestling
Silver,4,Czech Republic,2004,Rowing
Silver,1,Sweden,1928,Cross Country Skiing
Bronze,1,Colombia,1988,Boxing
Gold,4,France,1900,Archery
Silver,2,Norway,1924,Cross Country Skiing
Silver,1,Canada,2002,Short Track Speed Skating
Silver,1,UK,1932,Fencing
Gold,1,Colombia,2016,Athletics
Silver,6,Belarus,2012,Rhythmic Gymnastics
Silver,2,Norway,1964,Cross Country Skiing
Silver,1,Thailand,2016,Taekwondo
Silver,3,USA,1976,Wrestling
Gold,1,Switzerland,1976,Alpine Skiing
Gold,3,Russia,1964,Wrestling
Silver,3,Spain,1948,Equestrianism
Bronze,1,Germany,1952,Diving
Gold,1,Sweden,1980,Fencing
Gold,1,South Africa,1952,Swimming
Silver,1,Germany,1976,Nordic Combined
Bronze,4,Hungary,1996,Canoeing
Gold,1,Romania,2012,Gymnastics
Gold,1,UK,2016,Taekwondo
Silver,1,UK,1988,Swimming
Gold,1,Russia,1960,Cross Country Skiing
Gold,3,Finland,1928,Wrestling
Bronze,1,China,2008,Boxing
Silver,1,South Africa,1908,Athletics
Silver,1,USA,1984,Boxing
Bronze,1,New Zealand,1952,Athletics
Bronze,4,Norway,2014,Cross Country Skiing
Bronze,1,Ivory Coast,2016,Taekwondo
Bronze,1,Russia,1968,Biathlon
Silver,3,Canada,1984,Synchronized Swimming
Gold,1,China,2006,Freestyle Skiing
Silver,1,UK,1984,Swimming
Gold,1,Finland,1956,Ski Jumping
Silver,2,Austria,1992,Rowing
Silver,2,Bulgaria,1980,Canoeing
Silver,1,France,2012,Shooting
Bronze,1,Austria,2006,Snowboarding
Gold,1,Hungary,1972,Wrestling
Silver,3,Germany,1952,Rowing
Bronze,2,South Africa,2000,Athletics
Gold,1,Luxembourg,1924,Art Competitions
Bronze,1,Sweden,1988,Wrestling
Bronze,3,Australia,2004,Swimming
Bronze,1,Denmark,1932,Boxing
Silver,2,China,2004,Badminton
Silver,1,Ethiopia,2012,Athletics
Silver,1,Mexico,2016,Athletics
Bronze,8,Sweden,1906,Tug-Of-War
Gold,2,Germany,1984,Swimming
Bronze,10,Japan,2016,Synchronized Swimming
Silver,1,Switzerland,1964,Judo
Bronze,2,USA,1992,Cycling
Silver,3,Indonesia,2000,Badminton
Bronze,2,Germany,1896,Gymnastics
Silver,1,China,2012,Wrestling
Bronze,1,Germany,1956,Ski Jumping
Silver,1,Hungary,2004,Swimming
Bronze,1,Denmark,1968,Canoeing
Bronze,1,Venezuela,2016,Cycling
Gold,3,Sweden,2004,Athletics
Bronze,2,Kazakhstan,1996,Boxing
Bronze,1,Hungary,2000,Shooting
Bronze,3,Austria,1948,Alpine Skiing
Gold,1,Norway,1936,Figure Skating
Gold,4,Cuba,1996,Boxing
Gold,1,Taiwan,2016,Weightlifting
Bronze,1,China,2004,Trampolining
Silver,1,Japan,2004,Wrestling
Bronze,2,Indonesia,2008,Weightlifting
Silver,4,Finland,1972,Cross Country Skiing
Bronze,1,Germany,1964,Judo
Silver,1,Serbia,1948,Athletics
Bronze,3,Jamaica,2000,Athletics
Silver,10,Norway,1920,Shooting
Gold,2,Japan,2008,Wrestling
Gold,2,Japan,1956,Wrestling
Gold,6,Sweden,1932,Wrestling
Bronze,7,Czech Republic,1976,Rowing
Gold,1,Germany,1932,Weightlifting
Silver,1,China,2004,Cycling
Bronze,2,Sweden,1936,Wrestling
Silver,6,Hungary,1968,Canoeing
Bronze,2,Brazil,1996,Judo
Gold,9,China,2004,Diving
Gold,2,Canada,1912,Swimming
Gold,2,Germany,1964,Athletics
Bronze,2,South Korea,2004,Taekwondo
Gold,1,Spain,1996,Cycling
Bronze,2,South Korea,1996,Judo
Silver,11,Australia,2004,Swimming
Bronze,3,Finland,1956,Athletics
Silver,1,Sweden,1912,Swimming
Gold,8,Germany,2006,Bobsleigh
Bronze,2,Ukraine,2000,Athletics
Silver,1,Italy,1932,Weightlifting
Gold,1,France,2016,Canoeing
Silver,2,Canada,1920,Boxing
Bronze,7,Russia,1964,Cross Country Skiing
Bronze,2,Algeria,2000,Athletics
Silver,2,Finland,1948,Gymnastics
Bronze,2,UK,2008,Boxing
Bronze,1,Czech Republic,1952,Canoeing
Bronze,2,USA,1988,Tennis
Silver,1,Italy,2000,Shooting
Bronze,1,USA,1952,Figure Skating
Bronze,2,China,1992,Gymnastics
Silver,4,South Korea,1996,Judo
Gold,2,USA,1992,Sailing
Silver,1,Finland,1952,Nordic Combined
Silver,4,Australia,2008,Rowing
Silver,2,Finland,1924,Figure Skating
Silver,1,France,1948,Equestrianism
Bronze,1,Austria,2008,Swimming
Silver,1,Italy,1984,Judo
Bronze,1,Mexico,1988,Boxing
Silver,2,Switzerland,1976,Alpine Skiing
Bronze,4,Poland,1968,Weightlifting
Bronze,2,Finland,1984,Weightlifting
Bronze,3,Russia,1964,Wrestling
Silver,1,China,1996,Archery
Silver,1,Austria,1964,Figure Skating
Bronze,1,UK,1984,Equestrianism
Silver,5,Argentina,1948,Sailing
Silver,4,Belgium,1948,Bobsleigh
Bronze,2,China,2012,Synchronized Swimming
Gold,1,Serbia,1996,Shooting
Bronze,1,Denmark,1952,Boxing
Bronze,2,Belarus,2008,Wrestling
Bronze,2,France,1920,Rowing
Bronze,4,Czech Republic,1992,Ski Jumping
Bronze,2,Germany,1996,Tennis
Silver,1,Austria,2006,Nordic Combined
Bronze,1,Austria,1948,Art Competitions
Bronze,2,Bulgaria,1996,Shooting
Silver,1,USA,2008,Rowing
Gold,6,Sweden,2010,Cross Country Skiing
Silver,1,Australia,2000,Equestrianism
Bronze,1,Denmark,1932,Swimming
Bronze,1,Armenia,2008,Boxing
Bronze,2,Uruguay,1948,Rowing
Silver,1,Greece,2004,Sailing
Gold,1,France,1906,Athletics
Silver,1,France,1964,Boxing
Silver,1,Germany,1992,Tennis
Gold,1,Norway,1928,Cross Country Skiing
Gold,17,Australia,2004,Swimming
Bronze,1,New Zealand,1920,Rowing
Bronze,2,Russia,2014,Figure Skating
Silver,4,Japan,1956,Swimming
Gold,6,Russia,1976,Rowing
Bronze,2,Russia,1988,Cycling
Bronze,3,China,2004,Judo
Silver,1,Austria,2004,Sailing
Bronze,1,Germany,1988,Boxing
Bronze,3,Germany,1972,Canoeing
Bronze,1,UK,2004,Modern Pentathlon
Bronze,2,Canada,1992,Sailing
Gold,1,Netherlands,1936,Sailing
Silver,6,Germany,1972,Cycling
Gold,1,Denmark,1960,Canoeing
Bronze,3,USA,1992,Sailing
Bronze,1,USA,2006,Speed Skating
Bronze,2,USA,2004,Wrestling
Silver,3,Japan,2016,Wrestling
Silver,2,Germany,1984,Athletics
Silver,1,Finland,2000,Shooting
Gold,3,Germany,2010,Alpine Skiing
Bronze,6,USA,1952,Equestrianism
Bronze,2,Norway,1984,Cross Country Skiing
Silver,2,Norway,2014,Cross Country Skiing
Gold,1,Italy,1980,Judo
Silver,2,USA,1928,Swimming
Silver,1,South Africa,1912,Athletics
Bronze,1,Germany,2016,Boxing
Gold,2,Canada,1964,Rowing
Gold,3,Japan,1964,Judo
Gold,1,USA,2016,Triathlon
Silver,2,Bulgaria,1988,Canoeing
Silver,1,Finland,1960,Ski Jumping
Bronze,1,USA,2014,Luge
Bronze,4,Sweden,1964,Cycling
Silver,1,Netherlands,1972,Canoeing
Gold,1,USA,1924,Speed Skating
Gold,1,Netherlands,1964,Judo
Gold,1,Italy,1984,Shooting
Gold,6,Russia,1952,Wrestling
Gold,2,Hungary,1948,Athletics
Bronze,3,UK,1988,Archery
Bronze,1,USA,1956,Figure Skating
Gold,1,Greece,1904,Weightlifting
Bronze,1,UK,1896,Athletics
Silver,1,Russia,1956,Speed Skating
